출력ID47213527,출력 Date08/09/2022 00:00:00출력 sale20.89
출력ID58462358,출력 Date08/23/2022 00:00:00출력 sale79.66
출력ID78496352,출력 Date03/10/2023 00:00:00출력 sale84.64
출력ID98598969,출력 Date05/16/2023 00:00:00출력 sale52.64
출력ID85475826,출력 Date11/23/2023 00:00:00출력 sale11
출력ID89658754,출력 Date07/04/2023 00:00:00출력 sale110.5
출력ID84758496,출력 Date01/20/2023 00:00:00출력 sale36.33
출력ID74859625,출력 Date02/25/2023 00:00:00출력 sale101.4
출력ID95682635,출력 Date10/03/2023 00:00:00출력 sale9.25
출력ID78452569,출력 Date04/06/2023 00:00:00출력 sale70
출력ID74852458,출력 Date08/07/2023 00:00:00출력 sale94.34
출력ID86598748,출력 Date11/28/2023 00:00:00출력 sale45
출력ID58978541,출력 Date01/30/2023 00:00:00출력 sale22.1
출력ID48574853,출력 Date03/16/2023 00:00:00출력 sale54.57
출력ID69587562,출력 Date04/15/2023 00:00:00출력 sale24.5
출력ID85687562,출력 Date05/15/2023 00:00:00출력 sale52.16
출력ID15248763,출력 Date06/19/2023 00:00:00출력 sale110
출력ID15423625,출력 Date02/15/2023 00:00:00출력 sale18.6
출력ID85874868,출력 Date03/15/2023 00:00:00출력 sale64.37
출력ID85956247,출력 Date10/15/2023 00:00:00출력 sale67.2
출력ID59623054,출력 Date10/22/2023 00:00:00출력 sale25.76
출력ID14523054,출력 Date11/21/2023 00:00:00출력 sale174.56
출력ID25491845,출력 Date12/11/2023 00:00:00출력 sale111.6
출력ID25148669,출력 Date08/08/2023 00:00:00출력 sale24.92
출력ID85978669,출력 Date08/15/2023 00:00:00출력 sale46.28
출력ID98659847,출력 Date01/26/2023 00:00:00출력 sale68.32
출력ID98574854,출력 Date01/03/2023 00:00:00출력 sale17.7
출력ID78485601,출력 Date03/30/2023 00:00:00출력 sale44
출력ID89565654,출력 Date04/16/2023 00:00:00출력 sale61.2
출력ID15485142,출력 Date05/16/2023 00:00:00출력 sale76.5
